FlowCell Text Data File: 230207_sample3.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 17:09:01
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
469157.857, 102198.643, -0.21, -0.088725, , 
468559.381, 102178.762, -0.17, -0.086290, , 
469358.048, 102181.786, -0.13, -0.090056, , 
453763.167, 102196.262, -0.09, -0.013694, , 
219307.048, 102156.333, -0.04, 1.621724, , 
453763.167, 102196.262, 0.00, -0.013694, , 
219307.048, 102156.333, 0.04, 1.621724, , 
476031.714, 102254.167, 0.08, -0.120235, , 
423975.286, 102167.119, 0.12, 0.138470, , 
444576.690, 102193.429, 0.16, 0.032272, , 
472690.738, 102190.976, 0.21, -0.105776, , 
453200.786, 102138.881, 0.25, -0.012167, , 
267587.952, 102080.667, 0.29, 1.172275, , 
478691.048, 102163.095, 0.33, -0.134777, , 
507298.357, 102209.381, 0.37, -0.264382, , 
473425.333, 102195.405, 0.42, -0.109173, , 
441755.167, 102128.286, 0.46, 0.045165, , 
443081.357, 102147.452, 0.50, 0.038841, , 
446829.119, 102097.405, 0.54, 0.018783, , 
455367.476, 102197.881, 0.59, -0.021601, , 
461692.143, 102342.452, 0.63, -0.049461, , 
463272.929, 102258.929, 0.67, -0.058990, , 
400384.738, 102105.976, 0.71, 0.265958, , 
421823.405, 102153.952, 0.76, 0.149631, , 
442242.524, 102161.881, 0.80, 0.043424, , 
450046.262, 102169.976, 0.84, 0.004237, , 
453416.833, 102228.905, 0.88, -0.011257, , 
455598.214, 102218.071, 0.93, -0.022296, , 
457507.190, 102201.071, 0.97, -0.032080, , 
458431.952, 102161.167, 1.01, -0.037503, , 
459581.500, 102275.524, 1.05, -0.040621, , 
460060.524, 102163.762, 1.09, -0.045426, , 
460167.190, 102174.786, 1.13, -0.045705, , 
459015.119, 102088.667, 1.18, -0.041962, , 
458418.286, 102144.143, 1.22, -0.037811, , 
452766.667, 102132.500, 1.26, -0.010151, , 
282506.548, 102081.905, 1.30, 1.050209, , 
260864.048, 102005.476, 1.35, 1.227888, , 
260522.286, 101957.595, 1.39, 1.229782, , 
257734.476, 102007.333, 1.43, 1.255091, , 
256114.881, 102085.833, 1.47, 1.271008, , 
254555.786, 102098.524, 1.52, 1.285029, , 
255120.595, 102061.119, 1.56, 1.279217, , 
256098.429, 102068.810, 1.60, 1.270778, , 
257576.024, 102104.786, 1.64, 1.258624, , 
260914.643, 102136.214, 1.69, 1.230334, , 
262699.476, 102022.000, 1.73, 1.212474, , 
266468.071, 102054.190, 1.77, 1.181130, , 
268654.905, 102050.143, 1.81, 1.162647, , 
270220.214, 102041.810, 1.85, 1.149389, , 
271269.405, 102021.857, 1.90, 1.140228, , 
271888.333, 102110.738, 1.94, 1.137059, , 
271827.976, 102085.476, 1.98, 1.137002, , 
271787.071, 102144.048, 2.02, 1.138631, , 
271160.333, 102079.595, 2.06, 1.142406, , 
268763.643, 102072.143, 2.11, 1.162221, , 
266628.905, 102155.429, 2.15, 1.182003, , 
264372.357, 102204.262, 2.19, 1.202206, , 
269598.571, 102167.000, 2.23, 1.157332, , 
269027.595, 102181.333, 2.28, 1.162418, , 
266039.976, 102189.024, 2.32, 1.187719, , 
265443.405, 102202.786, 2.36, 1.193074, , 
266084.643, 102113.405, 2.40, 1.185676, , 
266353.738, 102076.310, 2.44, 1.182583, , 
266310.476, 102076.357, 2.49, 1.182950, , 
267732.452, 102089.929, 2.53, 1.171265, , 
273496.429, 102074.810, 2.57, 1.122996, , 
279529.333, 102185.929, 2.61, 1.076343, , 
281752.476, 102213.071, 2.65, 1.059113, , 
281381.952, 102116.667, 2.70, 1.059951, , 
276317.429, 102032.762, 2.74, 1.098976, , 
272581.857, 102030.214, 2.78, 1.129551, , 
272157.167, 101990.095, 2.82, 1.132175, , 
274464.929, 102037.167, 2.87, 1.114211, , 
277847.095, 102070.714, 2.91, 1.087389, , 
280531.929, 102141.286, 2.95, 1.067302, , 
281471.929, 102146.762, 2.99, 1.059895, , 
281136.310, 101952.762, 3.04, 1.058302, , 
282155.333, 102119.143, 3.08, 1.053829, , 
283502.857, 102121.119, 3.12, 1.043151, , 
283404.905, 102165.214, 3.16, 1.044900, , 
284275.643, 102147.881, 3.21, 1.037614, , 
287399.405, 102170.667, 3.25, 1.013522, , 
291067.381, 102189.286, 3.29, 0.985392, , 
290617.238, 102276.833, 3.33, 0.990803, , 
283905.714, 102189.167, 3.37, 1.041454, , 
277843.952, 102149.214, 3.42, 1.089144, , 
275056.262, 102118.262, 3.46, 1.111155, , 
274473.071, 102067.738, 3.50, 1.114818, , 
273803.286, 102098.452, 3.54, 1.120994, , 
272111.310, 102134.619, 3.59, 1.135741, , 
268826.071, 102048.643, 3.63, 1.161181, , 
264165.810, 102074.643, 3.67, 1.201109, , 
259495.524, 102062.071, 3.71, 1.240974, , 
255966.310, 102106.881, 3.75, 1.272778, , 
255223.810, 102150.357, 3.80, 1.280274, , 
255207.738, 102196.786, 3.84, 1.281438, , 
255106.048, 102109.262, 3.88, 1.280407, , 
254923.833, 102134.571, 3.92, 1.282572, , 
254446.905, 102205.738, 3.96, 1.288354, , 
