FlowCell Text Data File: 230207_sample4.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 17:17:51
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
452484.667, 101342.238, -0.21, -0.026229, , 
453477.024, 101428.452, -0.17, -0.029246, , 
454082.310, 101417.071, -0.13, -0.032500, , 
454609.048, 101380.143, -0.08, -0.035929, , 
353355.190, 101411.833, -0.04, 0.531804, , 
454609.048, 101380.143, 0.00, -0.035929, , 
353355.190, 101411.833, 0.04, 0.531804, , 
495969.119, 101483.333, 0.08, -0.229598, , 
474943.881, 101409.595, 0.12, -0.133751, , 
456717.548, 101293.476, 0.16, -0.048267, , 
440723.143, 101321.500, 0.21, 0.032580, , 
424868.429, 101313.262, 0.25, 0.114847, , 
430513.643, 101360.286, 0.29, 0.086187, , 
430662.405, 101356.452, 0.33, 0.085324, , 
430800.548, 101328.381, 0.38, 0.083979, , 
431081.714, 101350.690, 0.42, 0.083006, , 
431366.429, 101328.381, 0.46, 0.081025, , 
431620.976, 101359.143, 0.50, 0.080380, , 
429745.690, 101400.571, 0.54, 0.091099, , 
430251.500, 101441.238, 0.59, 0.089354, , 
430236.643, 101411.929, 0.63, 0.088781, , 
430375.286, 101368.976, 0.67, 0.087103, , 
430603.667, 101408.786, 0.71, 0.086793, , 
430916.262, 101475.929, 0.76, 0.086649, , 
430811.405, 101344.690, 0.80, 0.084284, , 
430988.357, 101179.595, 0.84, 0.079691, , 
431034.214, 101395.643, 0.88, 0.084252, , 
431296.857, 101389.833, 0.92, 0.082752, , 
431379.881, 101458.857, 0.97, 0.083851, , 
430752.190, 101331.405, 1.01, 0.084299, , 
431017.000, 101398.048, 1.05, 0.084395, , 
431162.762, 101401.381, 1.09, 0.083708, , 
430944.810, 101374.619, 1.14, 0.084252, , 
431017.310, 101389.357, 1.18, 0.084201, , 
431104.048, 101396.952, 1.22, 0.083916, , 
431249.167, 101338.405, 1.26, 0.081859, , 
431366.167, 101354.190, 1.30, 0.081599, , 
431510.524, 101384.690, 1.35, 0.081523, , 
431469.786, 101388.333, 1.39, 0.081817, , 
431889.833, 101374.429, 1.43, 0.079318, , 
432093.833, 101367.024, 1.47, 0.078091, , 
432247.857, 101455.000, 1.52, 0.079241, , 
430944.881, 101500.357, 1.56, 0.087041, , 
431084.786, 101442.905, 1.60, 0.085037, , 
431291.905, 101436.810, 1.64, 0.083820, , 
431305.071, 101366.738, 1.69, 0.082197, , 
431470.119, 101373.405, 1.73, 0.081484, , 
431857.167, 101473.071, 1.77, 0.081677, , 
432097.881, 101518.929, 1.81, 0.081440, , 
432194.429, 101486.071, 1.85, 0.080209, , 
432315.310, 101435.905, 1.90, 0.078467, , 
432828.571, 101488.690, 1.94, 0.076967, , 
433129.452, 101509.357, 1.98, 0.075862, , 
297386.690, 101521.143, 2.02, 0.922294, , 
492604.024, 101493.976, 2.06, -0.214041, , 
478885.119, 101450.405, 2.11, -0.151444, , 
456940.500, 101454.762, 2.15, -0.045785, , 
453746.357, 101518.238, 2.19, -0.028591, , 
453098.738, 101519.857, 2.23, -0.025340, , 
