FlowCell Text Data File: 230207_sample1.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 16:50:08
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
485951.738, 110277.143, -0.21, 0.003337, , 
486374.524, 110254.714, -0.17, 0.000922, , 
486269.976, 110280.357, -0.13, 0.001929, , 
486109.500, 110277.929, -0.09, 0.002622, , 
399128.167, 110249.595, -0.04, 0.445720, , 
486109.500, 110277.929, 0.00, 0.002622, , 
399128.167, 110249.595, 0.04, 0.445720, , 
543038.214, 110363.952, 0.08, -0.244849, , 
511654.762, 110393.238, 0.12, -0.110284, , 
501872.643, 110348.143, 0.16, -0.067762, , 
504175.238, 110351.548, 0.20, -0.077994, , 
492998.571, 110369.786, 0.25, -0.027173, , 
494602.238, 110325.333, 0.29, -0.035388, , 
495498.643, 110312.119, 0.33, -0.039732, , 
495999.214, 110333.357, 0.37, -0.041571, , 
495912.905, 110286.905, 0.41, -0.042128, , 
496313.833, 110207.190, 0.46, -0.045573, , 
496933.024, 110275.024, 0.50, -0.046994, , 
496964.976, 110380.929, 0.54, -0.044979, , 
496267.619, 110337.286, 0.59, -0.042709, , 
496910.881, 110368.405, 0.62, -0.044989, , 
497424.762, 110354.976, 0.67, -0.047589, , 
497516.857, 110260.643, 0.71, -0.049930, , 
497638.857, 110209.810, 0.75, -0.051520, , 
498217.214, 110246.262, 0.80, -0.053390, , 
498587.500, 110208.190, 0.84, -0.055839, , 
498977.500, 110260.905, 0.88, -0.056522, , 
498131.381, 110181.429, 0.92, -0.054326, , 
497480.452, 110102.286, 0.97, -0.053000, , 
496882.333, 110114.500, 1.01, -0.050043, , 
496411.167, 110097.833, 1.05, -0.048249, , 
496814.119, 110058.000, 1.09, -0.050889, , 
497198.500, 110087.976, 1.13, -0.052017, , 
497773.714, 110177.857, 1.18, -0.052782, , 
497960.071, 110109.405, 1.22, -0.055023, , 
498233.262, 110080.738, 1.26, -0.056843, , 
498450.619, 110057.571, 1.30, -0.058299, , 
498041.810, 110060.381, 1.34, -0.056395, , 
497912.786, 110032.381, 1.39, -0.056384, , 
498044.714, 110049.405, 1.43, -0.056632, , 
498330.786, 110054.929, 1.47, -0.057812, , 
498692.881, 110068.571, 1.51, -0.059167, , 
498848.238, 110019.881, 1.55, -0.060864, , 
499244.048, 110030.167, 1.60, -0.062438, , 
499252.929, 109996.619, 1.64, -0.063165, , 
498196.643, 109908.619, 1.68, -0.060200, , 
497498.738, 109912.548, 1.72, -0.056964, , 
497819.357, 109933.167, 1.77, -0.057992, , 
497870.571, 109977.381, 1.81, -0.057319, , 
497441.167, 109961.024, 1.85, -0.055712, , 
497265.833, 109931.738, 1.89, -0.055518, , 
341094.262, 109852.214, 1.93, 0.791191, , 
249063.643, 109699.690, 1.98, 1.495715, , 
259803.810, 109839.357, 2.02, 1.403569, , 
259670.810, 109828.119, 2.06, 1.404491, , 
259704.643, 109749.500, 2.10, 1.402586, , 
260084.810, 109716.524, 2.15, 1.398618, , 
259935.714, 109777.881, 2.19, 1.401166, , 
260185.167, 109757.929, 2.23, 1.398599, , 
260122.595, 109798.190, 2.27, 1.399965, , 
259823.905, 109775.476, 2.31, 1.402085, , 
259848.857, 109825.833, 2.36, 1.402901, , 
259789.619, 109825.048, 2.40, 1.403398, , 
259405.476, 109819.333, 2.44, 1.406611, , 
259137.500, 109843.810, 2.48, 1.409439, , 
258989.833, 109794.976, 2.52, 1.409721, , 
258537.429, 109749.762, 2.57, 1.412728, , 
258143.690, 109718.000, 2.61, 1.415507, , 
257606.048, 109717.833, 2.65, 1.420195, , 
257200.381, 109696.786, 2.70, 1.423310, , 
256675.143, 109709.738, 2.74, 1.428176, , 
256079.833, 109634.024, 2.78, 1.431848, , 
255631.095, 109655.857, 2.82, 1.436243, , 
254701.810, 109475.667, 2.87, 1.440738, , 
254568.476, 109546.500, 2.91, 1.443372, , 
254038.048, 109584.905, 2.95, 1.448855, , 
253336.667, 109637.381, 2.99, 1.456154, , 
252854.238, 109634.786, 3.03, 1.460391, , 
252260.619, 109564.476, 3.08, 1.464236, , 
251544.310, 109505.833, 3.12, 1.469431, , 
250659.452, 109471.048, 3.16, 1.476646, , 
249888.333, 109471.167, 3.20, 1.483583, , 
249204.167, 109567.333, 3.24, 1.491729, , 
248778.286, 109467.524, 3.29, 1.493527, , 
248011.024, 109434.905, 3.33, 1.499807, , 
247180.476, 109486.262, 3.37, 1.508412, , 
