FlowCell Text Data File: 230207_sample2.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 16:59:59
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
456868.524, 102897.881, -0.21, -0.013645, , 
456976.571, 103016.095, -0.17, -0.011593, , 
417474.929, 103035.476, -0.12, 0.192287, , 
391606.738, 102968.357, -0.08, 0.334773, , 
437556.238, 102991.381, -0.04, 0.085596, , 
391606.738, 102968.357, 0.00, 0.334773, , 
437556.238, 102991.381, 0.04, 0.085596, , 
451197.548, 102957.714, 0.08, 0.015772, , 
453183.667, 103057.881, 0.12, 0.008076, , 
455166.548, 102966.429, 0.16, -0.003747, , 
457600.619, 102999.500, 0.21, -0.015027, , 
457627.881, 102936.571, 0.25, -0.016536, , 
388935.929, 102977.738, 0.29, 0.350378, , 
337189.905, 102963.381, 0.33, 0.671356, , 
396870.667, 102941.619, 0.37, 0.304140, , 
469116.524, 102965.762, 0.42, -0.071697, , 
287396.690, 102967.786, 0.46, 1.031033, , 
413482.786, 103033.024, 0.50, 0.213857, , 
433981.619, 102971.405, 0.55, 0.103620, , 
453040.310, 102934.286, 0.59, 0.006088, , 
460089.119, 102993.690, 0.63, -0.027359, , 
463852.976, 102941.214, 0.67, -0.046841, , 
462067.452, 102990.357, 0.71, -0.037087, , 
459726.619, 102991.738, 0.76, -0.025628, , 
460912.595, 102941.190, 0.80, -0.032530, , 
461800.690, 102881.119, 0.84, -0.038176, , 
463598.310, 102885.143, 0.88, -0.046831, , 
464044.810, 102894.548, 0.92, -0.048792, , 
458069.476, 102831.143, 0.97, -0.021013, , 
458024.786, 102810.714, 1.01, -0.021240, , 
460004.524, 102778.857, 1.05, -0.031644, , 
462753.405, 102879.143, 1.09, -0.042857, , 
464536.786, 102999.857, 1.14, -0.048874, , 
460814.310, 102963.262, 1.18, -0.031568, , 
461465.071, 102953.238, 1.22, -0.034963, , 
462436.119, 102970.500, 1.26, -0.039316, , 
463293.048, 102933.857, 1.30, -0.044284, , 
464421.429, 102912.690, 1.35, -0.050221, , 
461653.167, 102937.405, 1.39, -0.036226, , 
462524.619, 102951.952, 1.43, -0.040152, , 
463067.119, 102966.762, 1.47, -0.042467, , 
463576.119, 102905.333, 1.52, -0.046282, , 
464194.429, 102890.095, 1.56, -0.049615, , 
463850.214, 102892.143, 1.60, -0.047901, , 
436770.976, 102869.976, 1.64, 0.086984, , 
197893.571, 102877.452, 1.68, 1.868772, , 
453540.143, 102870.524, 1.73, 0.002212, , 
454771.810, 102928.024, 1.77, -0.002634, , 
466984.476, 102882.143, 1.81, -0.063274, , 
470496.643, 102869.929, 1.85, -0.080404, , 
267659.167, 102810.071, 1.89, 1.187700, , 
295698.714, 102780.238, 1.94, 0.962843, , 
497935.405, 102816.833, 1.98, -0.209124, , 
497883.238, 102754.429, 2.02, -0.210254, , 
486536.619, 102907.000, 2.06, -0.155035, , 
329730.905, 102926.119, 2.11, 0.720882, , 
181648.976, 102880.214, 2.15, 2.061589, , 
268452.548, 102847.333, 2.19, 1.181854, , 
268486.333, 102853.857, 2.23, 1.181714, , 
269522.619, 102896.024, 2.27, 1.173967, , 
270315.000, 102939.976, 2.32, 1.168321, , 
269735.000, 102899.190, 2.36, 1.172263, , 
269574.762, 102935.786, 2.40, 1.174401, , 
269914.690, 102899.190, 2.45, 1.170765, , 
270443.738, 102903.333, 2.49, 1.166449, , 
270600.405, 102880.048, 2.53, 1.164636, , 
270710.357, 102898.167, 2.57, 1.164118, , 
271849.333, 102914.929, 2.61, 1.155036, , 
272754.881, 102966.381, 2.66, 1.148677, , 
273034.429, 102953.881, 2.70, 1.146099, , 
272967.429, 102890.190, 2.74, 1.145258, , 
272607.286, 102891.619, 2.78, 1.148261, , 
272063.381, 102923.024, 2.82, 1.153442, , 
270395.071, 102836.310, 2.87, 1.165387, , 
269821.190, 102908.333, 2.91, 1.171744, , 
269076.952, 102838.833, 2.95, 1.176440, , 
270278.690, 102853.167, 2.99, 1.166725, , 
270745.881, 102832.000, 3.04, 1.162375, , 
270509.524, 102836.000, 3.08, 1.164428, , 
269767.452, 102874.881, 3.12, 1.171461, , 
267043.238, 102926.143, 3.16, 1.195423, , 
266269.619, 102920.833, 3.20, 1.201836, , 
268795.095, 102925.238, 3.25, 1.180689, , 
271238.167, 102917.952, 3.29, 1.160167, , 
273834.643, 102934.810, 3.33, 1.139096, , 
277624.690, 102867.286, 3.37, 1.106685, , 
281227.905, 102921.524, 3.42, 1.078852, , 
280565.595, 102869.643, 3.46, 1.083023, , 
278935.500, 102849.143, 3.50, 1.095688, , 
277205.310, 102841.667, 3.54, 1.109527, , 
276302.595, 102843.738, 3.58, 1.116913, , 
277896.071, 102866.024, 3.63, 1.104459, , 
279051.381, 102917.000, 3.67, 1.096237, , 
277186.952, 102877.929, 3.71, 1.110469, , 
273062.643, 102852.571, 3.75, 1.143651, , 
269157.810, 102970.667, 3.79, 1.178647, , 
266713.381, 102907.452, 3.84, 1.197796, , 
266764.238, 102962.524, 3.88, 1.198571, , 
267659.690, 102953.857, 3.92, 1.190840, , 
266300.310, 102901.167, 3.96, 1.201147, , 
263489.262, 102887.762, 4.01, 1.224735, , 
261288.786, 102863.762, 4.05, 1.243083, , 
260937.000, 102884.429, 4.09, 1.246567, , 
260305.881, 102916.929, 4.13, 1.252728, , 
259986.952, 102814.738, 4.18, 1.253251, , 
260223.738, 102911.952, 4.22, 1.253329, , 
260165.286, 102883.238, 4.26, 1.253207, , 
259878.952, 102847.690, 4.30, 1.254907, , 
259457.571, 102917.143, 4.34, 1.260078, , 
258830.429, 102922.524, 4.39, 1.265642, , 
258404.500, 102857.929, 4.43, 1.267936, , 
257639.405, 102863.500, 4.47, 1.274731, , 
256973.476, 102846.714, 4.51, 1.280188, , 
256503.429, 102951.000, 4.56, 1.286589, , 
255834.833, 102909.429, 4.60, 1.291553, , 
255212.024, 102839.071, 4.64, 1.295499, , 
254809.905, 102876.429, 4.68, 1.299865, , 
254344.667, 102869.952, 4.72, 1.303836, , 
253405.952, 102821.524, 4.77, 1.311098, , 
252608.286, 102818.333, 4.81, 1.318123, , 
252190.452, 102801.095, 4.85, 1.321471, , 
251895.000, 102853.095, 4.89, 1.325247, , 
251014.119, 102807.214, 4.93, 1.332127, , 
250173.071, 102671.762, 4.98, 1.336713, , 
249799.976, 102619.214, 5.02, 1.338919, , 
249408.238, 102554.405, 5.06, 1.341029, , 
248864.976, 102618.976, 5.10, 1.347353, , 
249043.310, 102722.333, 5.15, 1.348007, , 
248435.643, 102608.810, 5.19, 1.351016, , 
248202.595, 102625.881, 5.23, 1.353502, , 
247783.619, 102653.500, 5.27, 1.357910, , 
246729.000, 102811.571, 5.32, 1.370971, , 
246405.786, 102831.690, 5.36, 1.374362, , 
246486.333, 102566.976, 5.40, 1.367826, , 
246011.476, 102577.643, 5.44, 1.372399, , 
245418.333, 102571.643, 5.48, 1.377700, , 
245538.929, 102640.024, 5.52, 1.378094, , 
245320.238, 102709.429, 5.57, 1.381621, , 
244907.952, 102711.024, 5.61, 1.385441, , 
244560.643, 102698.643, 5.65, 1.388363, , 
244272.095, 102697.000, 5.70, 1.390984, , 
243932.548, 102664.857, 5.74, 1.393410, , 
243810.452, 102685.095, 5.78, 1.394980, , 
243610.071, 102696.952, 5.82, 1.397090, , 
243316.690, 102696.905, 5.87, 1.399801, , 
242921.095, 102675.405, 5.91, 1.402992, , 
242606.929, 102644.881, 5.95, 1.405235, , 
242413.262, 102625.167, 5.99, 1.406600, , 
242183.905, 102625.548, 6.03, 1.408739, , 
242025.071, 102688.143, 6.08, 1.411587, , 
241583.476, 102667.976, 6.12, 1.415255, , 
241354.048, 102571.881, 6.16, 1.415286, , 
241173.119, 102531.262, 6.20, 1.416082, , 
241183.929, 102553.167, 6.24, 1.416462, , 
240851.571, 102571.190, 6.29, 1.419961, , 
240608.095, 102588.857, 6.33, 1.422625, , 
240613.738, 102597.143, 6.37, 1.422754, , 
240549.738, 102579.143, 6.41, 1.422957, , 
240313.119, 102559.214, 6.46, 1.424735, , 
240115.238, 102680.214, 6.50, 1.429242, , 
240100.143, 102597.976, 6.54, 1.427581, , 
240302.952, 102638.071, 6.58, 1.426560, , 
240238.952, 102634.357, 6.63, 1.427078, , 
239847.905, 102645.452, 6.67, 1.430987, , 
239920.810, 102684.095, 6.71, 1.431150, , 
239630.119, 102683.524, 6.75, 1.433866, , 
239520.429, 102657.595, 6.79, 1.434328, , 
239276.143, 102575.143, 6.83, 1.434816, , 
239118.214, 102602.929, 6.88, 1.436912, , 
239116.000, 102601.214, 6.92, 1.436895, , 
239163.357, 102637.333, 6.96, 1.437241, , 
239028.976, 102664.524, 7.00, 1.439102, , 
239079.548, 102649.238, 7.04, 1.438291, , 
238666.333, 102622.714, 7.09, 1.441602, , 
238537.024, 102633.881, 7.13, 1.443067, , 
238570.071, 102608.690, 7.17, 1.442203, , 
238531.833, 102616.095, 7.22, 1.442726, , 
238505.476, 102619.714, 7.26, 1.443054, , 
238660.143, 102680.333, 7.30, 1.442924, , 
238546.452, 102606.143, 7.34, 1.442370, , 
238641.167, 102566.738, 7.38, 1.440612, , 
238797.119, 102623.881, 7.43, 1.440395, , 
238871.619, 102661.833, 7.47, 1.440525, , 
239088.810, 102810.452, 7.51, 1.441736, , 
239151.238, 102649.405, 7.55, 1.437620, , 
239290.119, 102613.167, 7.60, 1.435519, , 
239497.286, 102632.881, 7.64, 1.434004, , 
239834.048, 102791.548, 7.68, 1.434318, , 
239525.214, 102833.929, 7.72, 1.438145, , 
239837.810, 102849.881, 7.77, 1.435559, , 
240186.833, 102632.405, 7.81, 1.427523, , 
240408.667, 102623.214, 7.85, 1.425244, 1, 1.109
240658.214, 102645.190, 7.89, 1.423391, , 
240822.929, 102571.238, 7.93, 1.420230, , 
241136.595, 102642.405, 7.98, 1.418861, , 
241977.190, 102677.786, 8.02, 1.411806, , 
242198.143, 102668.833, 8.06, 1.409555, , 
241803.976, 102645.119, 8.10, 1.412701, , 
242194.857, 102664.429, 8.14, 1.409489, , 
242826.310, 102730.357, 8.19, 1.405074, , 
243100.238, 102730.452, 8.23, 1.402539, , 
244134.738, 102682.357, 8.27, 1.391929, , 
244514.810, 102677.571, 8.31, 1.388323, , 
244391.643, 102536.548, 8.36, 1.386364, , 
244976.310, 102623.619, 8.40, 1.382897, , 
245484.143, 102514.786, 8.44, 1.375849, , 
246143.905, 102527.452, 8.48, 1.370087, , 
247440.262, 102559.786, 8.52, 1.358975, , 
248026.762, 102515.333, 8.57, 1.352672, , 
248672.452, 102472.119, 8.61, 1.345872, , 
249432.833, 102541.024, 8.65, 1.340514, , 
250244.381, 102534.643, 8.69, 1.333064, , 
250810.524, 102486.833, 8.73, 1.326929, , 
251631.214, 102564.357, 8.78, 1.321279, , 
252453.381, 102584.071, 8.82, 1.314370, , 
253001.524, 102594.238, 8.86, 1.309712, , 
253862.333, 102697.381, 8.90, 1.304330, , 
254987.452, 102559.833, 8.95, 1.291362, , 
255804.048, 102531.000, 8.99, 1.283533, , 
256869.881, 102558.429, 9.03, 1.274778, , 
257071.595, 102595.452, 9.07, 1.273824, , 
258680.452, 102871.119, 9.12, 1.265822, , 
260062.167, 102903.833, 9.16, 1.254549, , 
260942.595, 102768.357, 9.20, 1.243979, , 
261562.690, 102832.548, 9.24, 1.240042, , 
262638.738, 102670.952, 9.28, 1.227264, , 
264067.667, 102606.071, 9.32, 1.213631, , 
266195.548, 102606.071, 9.37, 1.195569, , 
267024.786, 102606.071, 9.41, 1.188570, , 
267518.714, 102606.071, 9.45, 1.184411, , 
269034.595, 102606.071, 9.50, 1.171695, , 
271261.000, 102606.071, 9.54, 1.153148, , 
272384.333, 102606.071, 9.58, 1.143848, , 
273629.071, 102606.071, 9.62, 1.133587, , 
274585.238, 102606.071, 9.67, 1.125737, , 
275905.143, 102606.071, 9.71, 1.114945, , 
277809.976, 102606.071, 9.75, 1.099462, , 
280440.238, 102606.071, 9.79, 1.078255, , 
280908.762, 102502.429, 9.84, 1.072224, , 
282182.429, 102727.857, 9.88, 1.066988, , 
284137.905, 102625.738, 9.92, 1.049208, , 
286118.619, 102627.429, 9.96, 1.033612, , 
287296.619, 102755.048, 10.00, 1.027162, , 
288166.952, 102635.548, 10.05, 1.017736, , 
289495.762, 102587.500, 10.09, 1.006329, , 
291584.595, 102556.810, 10.13, 0.989476, , 
293755.619, 102789.214, 10.17, 0.977876, , 
295317.500, 102798.714, 10.21, 0.966151, , 
296420.429, 102569.571, 10.26, 0.952740, , 
298589.429, 102536.810, 10.30, 0.935614, , 
301344.262, 102568.476, 10.34, 0.915641, , 
303277.119, 102578.714, 10.38, 0.901477, , 
304743.786, 102571.024, 10.43, 0.890451, , 
306429.357, 102546.643, 10.47, 0.877503, , 
309610.238, 102545.667, 10.51, 0.854241, , 
312386.738, 102546.762, 10.55, 0.834174, , 
314148.405, 102526.714, 10.59, 0.821079, , 
317614.143, 102525.024, 10.64, 0.796350, , 
320814.071, 102572.714, 10.68, 0.774838, , 
324169.738, 102576.095, 10.72, 0.751495, , 
326618.643, 102627.357, 10.76, 0.735682, , 
329091.929, 102629.214, 10.81, 0.718746, , 
331282.714, 102792.333, 10.85, 0.707388, , 
334200.000, 102840.095, 10.89, 0.688703, , 
337099.286, 102804.381, 10.93, 0.668483, , 
338601.714, 102807.238, 10.98, 0.658537, , 
341507.333, 102746.929, 11.02, 0.637988, , 
344423.976, 102806.286, 11.06, 0.620149, , 
347343.333, 102783.667, 11.10, 0.600660, , 
350874.048, 102826.452, 11.14, 0.578836, , 
353766.500, 102911.119, 11.19, 0.562213, , 
355055.690, 102919.238, 11.23, 0.554204, , 
358805.952, 102886.143, 11.27, 0.529835, , 
362465.667, 102858.310, 11.31, 0.506389, , 
365028.262, 102906.690, 11.36, 0.491593, , 
367916.071, 102846.381, 11.40, 0.472540, , 
371798.714, 102725.619, 11.44, 0.446271, , 
375167.571, 102784.238, 11.48, 0.427256, , 
378619.667, 102774.571, 11.52, 0.406431, , 
381133.024, 102775.119, 11.57, 0.391554, , 
384213.643, 102769.190, 11.61, 0.373307, , 
387867.381, 102759.667, 11.65, 0.351799, , 
392078.119, 102808.310, 11.69, 0.328565, , 
393753.381, 102829.595, 11.73, 0.319435, , 
396923.262, 102882.190, 11.78, 0.302542, , 
400978.119, 102868.476, 11.82, 0.279369, , 
404384.310, 102813.643, 11.86, 0.259133, , 
406900.024, 102830.548, 11.90, 0.245546, , 
407816.905, 102830.286, 11.95, 0.240475, , 
412314.786, 102878.857, 11.99, 0.216853, , 
415619.714, 102869.643, 12.03, 0.198685, , 
417928.643, 102848.810, 12.07, 0.185762, , 
419839.952, 102866.810, 12.11, 0.175887, , 
422806.905, 102849.405, 12.16, 0.159659, , 
