FlowCell Text Data File: 230207_sample6.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 17:35:35
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
448249.548, 100440.167, -0.16, -0.025188, , 
446959.238, 100492.690, -0.11, -0.017524, , 
446020.690, 100404.524, -0.07, -0.014769, , 
279870.405, 100404.524, -0.03, 1.034021, , 
446020.690, 100404.524, 0.00, -0.014769, , 
279870.405, 100404.524, 0.04, 1.034021, , 
490943.905, 100355.762, 0.08, -0.231824, , 
449339.690, 100408.738, 0.12, -0.031359, , 
448485.786, 100400.262, 0.16, -0.027268, , 
462896.524, 100320.238, 0.20, -0.100236, , 
451580.333, 100330.333, 0.25, -0.044311, , 
454199.048, 100414.524, 0.29, -0.055436, , 
451362.905, 100357.524, 0.33, -0.042617, , 
451717.690, 100414.786, 0.37, -0.043102, , 
452168.476, 100379.333, 0.41, -0.046141, , 
452512.548, 100387.000, 0.45, -0.047681, , 
452804.905, 100441.905, 0.50, -0.047904, , 
452638.286, 100386.857, 0.54, -0.048309, , 
452987.619, 100364.929, 0.58, -0.050537, , 
453756.190, 100361.548, 0.63, -0.054428, , 
454462.095, 100402.976, 0.67, -0.056997, , 
284163.167, 100399.071, 0.71, 0.999643, , 
486957.881, 100439.738, 0.75, -0.211596, , 
483045.119, 100517.381, 0.79, -0.191701, , 
481360.810, 100482.048, 0.84, -0.184632, , 
277483.857, 100401.571, 0.88, 1.053227, , 
479533.071, 100394.071, 0.92, -0.178042, , 
497697.214, 100395.548, 0.96, -0.261678, , 
513272.405, 100384.071, 1.01, -0.331282, , 
499006.500, 100400.452, 1.05, -0.267480, , 
495693.024, 100430.238, 1.09, -0.251819, , 
481710.143, 100454.238, 1.13, -0.186887, , 
481830.143, 100425.357, 1.17, -0.188095, , 
482870.571, 100386.619, 1.22, -0.193817, , 
484714.738, 100374.905, 1.26, -0.202658, , 
459419.167, 100387.833, 1.30, -0.081751, , 
456242.595, 100283.143, 1.34, -0.068484, , 
457573.690, 100319.548, 1.38, -0.074224, , 
457744.405, 100271.190, 1.43, -0.076148, , 
457561.310, 100250.476, 1.47, -0.075713, , 
457683.548, 100271.333, 1.51, -0.075846, , 
458182.524, 100324.333, 1.55, -0.077109, , 
458471.000, 100359.286, 1.60, -0.077741, , 
458721.929, 100349.976, 1.64, -0.079181, , 
458740.905, 100309.762, 1.68, -0.080177, , 
459039.333, 100315.048, 1.72, -0.081522, , 
459060.238, 100282.595, 1.76, -0.082352, , 
459068.095, 100272.571, 1.81, -0.082616, , 
459395.214, 100333.429, 1.85, -0.082853, , 
459629.286, 100388.714, 1.89, -0.082760, , 
459499.619, 100337.310, 1.93, -0.083278, , 
459893.000, 100413.286, 1.98, -0.083500, , 
460120.738, 100461.952, 2.02, -0.083524, , 
460146.095, 100462.214, 2.06, -0.083642, , 
460079.357, 100403.167, 2.10, -0.084639, , 
459948.286, 100337.833, 2.14, -0.085462, , 
460197.405, 100365.333, 2.19, -0.086064, , 
460363.405, 100372.024, 2.23, -0.086726, , 
460432.548, 100339.929, 2.27, -0.087783, , 
460409.119, 100339.286, 2.31, -0.087683, , 
460083.262, 100264.048, 2.35, -0.087778, , 
460342.286, 100339.786, 2.40, -0.087345, , 
444132.952, 100365.667, 2.44, -0.006095, , 
