FlowCell Text Data File: 230207_sample5.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 17:27:02
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
281967.214, 100634.357, 4.05, 1.022369, , 
291432.143, 100666.000, 4.09, 0.948775, , 
300057.524, 100606.595, 4.13, 0.881808, , 
297908.619, 100615.905, 4.18, 0.898191, , 
296018.429, 100655.952, 4.22, 0.913411, , 
293896.310, 100651.286, 4.26, 0.929498, , 
295611.571, 100632.333, 4.30, 0.915978, , 
300151.048, 100645.929, 4.34, 0.881987, , 
298339.714, 100661.524, 4.39, 0.895957, , 
299847.524, 100664.810, 4.43, 0.884686, , 
301145.929, 100677.905, 4.47, 0.875255, , 
310804.952, 100679.071, 4.51, 0.804233, , 
317606.500, 100759.833, 4.56, 0.757321, , 
315839.238, 100741.095, 4.60, 0.769460, , 
305838.500, 100751.643, 4.64, 0.842106, , 
301773.452, 100598.929, 4.68, 0.868804, , 
301556.857, 100622.905, 4.72, 0.870956, , 
300722.833, 100688.429, 4.77, 0.878654, , 
298488.310, 100606.333, 4.81, 0.893603, , 
303472.048, 100673.000, 4.85, 0.857829, , 
306849.381, 100579.048, 4.89, 0.830821, , 
305837.643, 100597.810, 4.93, 0.838673, , 
306778.905, 100609.429, 4.98, 0.832018, , 
307451.143, 100636.905, 5.02, 0.827706, , 
306883.167, 100609.333, 5.06, 0.831251, , 
305079.619, 100687.762, 5.10, 0.846269, , 
302882.952, 100722.786, 5.15, 0.863314, , 
300420.167, 100731.071, 5.19, 0.881873, , 
298260.762, 100710.905, 5.23, 0.897657, , 
295930.071, 100638.357, 5.27, 0.913690, , 
294209.333, 100662.167, 5.32, 0.927346, , 
294113.810, 100705.500, 5.36, 0.929045, , 
295420.333, 100636.024, 5.40, 0.917517, , 
296246.095, 100639.929, 5.44, 0.911323, , 
295537.476, 100651.690, 5.49, 0.916975, , 
294177.976, 100609.143, 5.53, 0.926400, , 
292614.595, 100726.405, 5.57, 0.941013, , 
291018.333, 100818.357, 5.61, 0.955376, , 
288783.714, 100779.881, 5.65, 0.971864, , 
286983.619, 100665.357, 5.70, 0.983377, , 
285424.452, 100622.048, 5.74, 0.994669, , 
283683.929, 100656.476, 5.78, 1.009204, , 
281921.619, 100667.500, 5.82, 1.023474, , 
279582.167, 100639.238, 5.87, 1.041595, , 
276785.452, 100599.714, 5.91, 1.063336, , 
273695.095, 100616.262, 5.95, 1.088974, , 
271292.571, 100615.976, 5.99, 1.108809, , 
270139.667, 100670.286, 6.03, 1.119607, , 
268569.381, 100621.476, 6.08, 1.131636, , 
267398.000, 100639.571, 6.12, 1.141877, , 
266593.881, 100558.833, 6.16, 1.146849, , 
266132.310, 100631.333, 6.20, 1.152370, , 
265784.310, 100629.381, 6.24, 1.155271, , 
265137.333, 100690.357, 6.29, 1.162119, , 
264580.619, 100620.571, 6.33, 1.165289, , 
264002.238, 100521.238, 6.37, 1.167991, , 
263837.286, 100559.452, 6.41, 1.170253, , 
263839.024, 100566.762, 6.46, 1.170402, , 
263776.905, 100586.548, 6.50, 1.171375, , 
263532.357, 100644.238, 6.54, 1.174752, , 
263336.738, 100708.738, 6.58, 1.177865, , 
263436.619, 100717.500, 6.62, 1.177208, , 
263224.429, 100725.167, 6.67, 1.179192, , 
263285.810, 100819.476, 6.71, 1.180774, , 
262877.476, 100753.143, 6.75, 1.182786, , 
262476.452, 100646.738, 6.79, 1.183843, , 
262673.952, 100664.833, 6.83, 1.182555, , 
262739.024, 100703.286, 6.88, 1.182857, , 
262616.643, 100746.548, 6.92, 1.184872, , 
262353.571, 100744.262, 6.96, 1.187077, , 
262508.500, 100701.071, 7.01, 1.184783, , 
262841.643, 100756.714, 7.05, 1.183172, , 
262894.452, 100817.714, 7.09, 1.184082, , 
262893.881, 100826.238, 7.13, 1.184277, , 
262824.429, 100798.024, 7.17, 1.184242, , 
263132.119, 100843.095, 7.22, 1.182615, , 
262863.071, 100753.452, 7.26, 1.182916, , 
262949.310, 100731.357, 7.30, 1.181684, , 
262900.286, 100700.714, 7.34, 1.181419, , 
263327.667, 100746.810, 7.38, 1.178793, , 
263239.548, 100781.429, 7.43, 1.180320, , 
263502.000, 101010.238, 7.47, 1.183181, , 
263331.714, 100966.881, 7.51, 1.183669, , 
263176.952, 100666.095, 7.55, 1.178278, , 
263749.810, 100662.048, 7.60, 1.173294, , 
263813.643, 100710.357, 7.64, 1.173830, , 
263646.762, 100661.357, 7.68, 1.174158, , 
263904.333, 100716.571, 7.72, 1.173195, , 
263839.643, 100643.619, 7.76, 1.172116, , 
264224.167, 100682.571, 7.81, 1.169709, , 
264511.214, 100652.786, 7.85, 1.166600, 1, 1.110
264987.381, 100651.429, 7.89, 1.162522, , 
264989.786, 100655.667, 7.93, 1.162596, , 
265922.119, 100720.452, 7.98, 1.156141, , 
266191.429, 100747.167, 8.02, 1.154459, , 
266440.024, 100755.524, 8.06, 1.152545, , 
266971.548, 100728.952, 8.10, 1.147467, , 
267051.595, 100646.071, 8.14, 1.144940, , 
267559.595, 100663.929, 8.19, 1.141062, , 
267928.024, 100564.357, 8.23, 1.135738, , 
268072.738, 100591.548, 8.27, 1.135132, , 
268649.738, 100649.071, 8.31, 1.131579, , 
269225.381, 100667.143, 8.36, 1.127167, , 
269528.738, 100603.690, 8.40, 1.123213, , 
270344.214, 100675.429, 8.44, 1.118019, , 
270614.571, 100745.905, 8.48, 1.117344, , 
271411.905, 100668.048, 8.52, 1.108984, , 
271899.738, 100650.310, 8.56, 1.104546, , 
272287.643, 100628.429, 8.61, 1.100848, , 
272884.357, 100684.667, 8.65, 1.097179, , 
273283.833, 100695.690, 8.69, 1.094134, , 
274356.571, 100619.143, 8.74, 1.083606, , 
274888.762, 100650.476, 8.78, 1.079945, , 
275372.429, 100673.000, 8.82, 1.076493, , 
276319.190, 100725.833, 8.86, 1.069949, , 
277121.786, 101003.786, 8.90, 1.069624, , 
278290.143, 101012.048, 8.95, 1.060340, , 
278978.429, 101000.286, 8.99, 1.054519, , 
279569.905, 100997.833, 9.03, 1.049698, , 
280502.214, 100758.190, 9.07, 1.036859, , 
281988.929, 100668.929, 9.12, 1.022969, , 
282585.333, 100683.667, 9.16, 1.018544, , 
283454.524, 100664.024, 9.20, 1.011193, , 
284409.214, 100714.524, 9.24, 1.004755, , 
285382.405, 100617.214, 9.29, 0.994892, , 
286348.595, 100670.571, 9.33, 0.988479, , 
287442.000, 100670.571, 9.37, 0.979902, , 
288494.476, 100670.571, 9.41, 0.971677, , 
289449.905, 100670.571, 9.45, 0.964237, , 
291111.952, 100670.571, 9.50, 0.951351, , 
291801.452, 100670.571, 9.54, 0.946027, , 
293059.786, 100670.571, 9.58, 0.936344, , 
293819.881, 100670.571, 9.62, 0.930515, , 
295064.333, 100670.571, 9.67, 0.921003, , 
296433.810, 100670.571, 9.71, 0.910582, , 
297623.810, 100670.571, 9.75, 0.901566, , 
298821.500, 100670.571, 9.79, 0.892528, , 
299807.310, 101004.714, 9.83, 0.892574, , 
300975.024, 101016.405, 9.88, 0.884086, , 
302523.571, 100995.952, 9.92, 0.872081, , 
304420.500, 101024.571, 9.96, 0.858652, , 
305928.024, 101049.714, 10.00, 0.848095, , 
307062.738, 101089.619, 10.05, 0.840652, , 
308661.167, 101083.310, 10.09, 0.828827, , 
311153.286, 101081.810, 10.13, 0.810697, , 
312528.690, 101056.119, 10.17, 0.800199, , 
313734.405, 101029.571, 10.21, 0.790942, , 
315933.952, 101054.000, 10.26, 0.775764, , 
317747.667, 101057.810, 10.30, 0.762966, , 
319665.857, 101045.333, 10.34, 0.749144, , 
320748.548, 100994.881, 10.38, 0.740411, , 
321691.048, 101030.714, 10.43, 0.734606, , 
324215.476, 101096.071, 10.47, 0.718470, , 
326663.310, 101067.929, 10.51, 0.700917, , 
327086.833, 100967.667, 10.55, 0.695767, , 
328424.857, 100984.619, 10.60, 0.686958, , 
330296.738, 101010.167, 10.64, 0.674737, , 
332528.857, 101074.500, 10.68, 0.661013, , 
334689.786, 101054.667, 10.72, 0.645994, , 
336333.000, 100991.690, 10.77, 0.633569, , 
337152.667, 100989.214, 10.81, 0.628036, , 
340743.357, 101018.071, 10.85, 0.604839, , 
343070.238, 101058.690, 10.89, 0.590428, , 
344424.643, 101050.833, 10.93, 0.581386, , 
346732.214, 101080.167, 10.98, 0.567012, , 
349297.071, 101024.214, 11.02, 0.549180, , 
351540.000, 101009.595, 11.06, 0.534450, , 
353819.738, 101028.143, 11.10, 0.520316, , 
355663.214, 101002.190, 11.14, 0.508043, , 
358684.929, 101012.786, 11.18, 0.489240, , 
361515.524, 101079.286, 11.23, 0.473032, , 
362839.881, 100985.095, 11.27, 0.462705, , 
363979.690, 100958.310, 11.31, 0.455049, , 
366665.071, 100984.405, 11.36, 0.439088, , 
369919.429, 100998.881, 11.40, 0.419525, , 
371689.119, 100928.619, 11.44, 0.407219, , 
372943.071, 100948.929, 11.48, 0.400092, , 
374666.952, 100944.643, 11.52, 0.389618, , 
378293.381, 100923.881, 11.57, 0.367478, , 
380016.429, 100934.452, 11.61, 0.357487, , 
381438.976, 100968.976, 11.65, 0.349848, , 
384611.429, 101003.333, 11.69, 0.331974, , 
387431.643, 100994.095, 11.74, 0.315327, , 
390015.024, 100991.286, 11.78, 0.300308, , 
392841.929, 100925.571, 11.82, 0.282590, , 
394450.071, 100882.548, 11.86, 0.272437, , 
396313.952, 100879.786, 11.90, 0.261767, , 
399020.048, 100840.262, 11.95, 0.245571, , 
402613.333, 100894.571, 11.99, 0.226607, , 
405526.095, 100901.476, 12.03, 0.210539, , 
406942.381, 100863.929, 12.07, 0.201855, , 
409198.048, 100951.262, 12.11, 0.191364, , 
411481.762, 100880.262, 12.16, 0.177256, , 
414981.286, 100863.476, 12.20, 0.157823, , 
416440.024, 100906.976, 12.24, 0.150896, , 
418179.048, 100918.571, 12.29, 0.141777, , 
420270.333, 100907.762, 12.33, 0.130309, , 
422684.000, 100889.976, 12.37, 0.117025, , 
424697.619, 100904.262, 12.41, 0.106648, , 
426387.810, 100835.500, 12.45, 0.096176, , 
428190.714, 100851.190, 12.49, 0.087031, , 
429718.429, 100838.167, 12.54, 0.078725, , 
432218.762, 100889.452, 12.58, 0.066813, , 
435088.905, 100885.643, 12.62, 0.051833, , 
436720.905, 100830.595, 12.66, 0.042180, , 
